YEAR,WATERWAY,SITE,SUBJECT,NB,DATE,DAY_SEP6,MONTH,EGGS_IN_NEST,SUCCESS,FATE,EGG_SURV,EGG_SURV_CAT,EGG_CLUMPS,CHAMB_START,CHAMB_STOP,DEV_STAGE,PIT,SVL,TL,MALE_CLASS,TG,MASS,TOT_LENG_S,CARE_PROP,CARE_FREQ,CARE_MEAN,FAN_PROP,FAN_FREQ,FAN_MEAN,AGIT_PROP,AGIT_FREQ,AGIT_MEAN,TFAN_PROP,TFAN_FREQ,TFAN_MEAN,ROCKTAIL_PROP,ROCKTAIL_FREQ,ROCKTAIL_MEAN,ROCKAG_PROP,ROCKAG_FREQ,ROCKAG_MEAN,WALKAG_PROP,WALKAG_FREQ,WALKAG_MEAN,HEADAG_PROP,HEADAG_FREQ,HEADAG_MEAN,CANN_PROP,CANN_FREQ,CANN_MEAN,PROP_UNKMOT,GUARD_PROP,GUARD_FREQ,GUARD_MEAN,ROCKO2_PROP,ROCKO2_FREQ,ROCKO2_MEAN,POS_CHAMB_PROP,POS_TUN_PROP,POS_OUT_PROP,PROP_NOCARE,PROP_WALK,PROP_SBREATH,PROP_YAWN,PROP_STILL,DEPTH,TEMP,PH,COND,DO,VID_ID
2019,C,R,C_44_2019,44,9/26/2019,20,SEPT,318,0,ABANDON,0,LOW,1,15:23:16,19:28:59,EGGS,9.89E+14,29.8,48.5,OLD,36,610,14746.95,0.726,655,16.3651682,0.054,78,10.20541026,0.671,576,17.18366667,0.035,40,12.982,0.019,38,7.282,0.372,177,30.994,0.25,316,11.665,0.049,83,8.746,0.001,1,13.254,0,0.118,46,37.721,0.002,10,3.206,0.683,0.314,0.002,0.036,0.026,0.008,0,0.238,20,18.6,8.28,326.5,4.73,2019_CAP_RAINBOW_NB44_AQVU_9.26.19_DUAL
2019,C,R,C_44_2020,44,9/27/2019,21,SEPT,318,0,ABANDON,0,LOW,1,14:33:07,18:29:56,EGGS,9.89E+14,29.8,48.5,OLD,36,610,14212.49,0.649,578,15.9711436,0.244,154,22.51124026,0.396,423,13.31777778,0.218,108,28.702,0.026,46,7.977,0.168,96,24.875,0.189,262,10.266,0.039,65,8.551,0.009,1,131.17,0,0.171,43,56.356,0.005,15,4.568,0.592,0.403,0.004,0.046,0.038,0.003,0,0.305,20,15.9,8.27,299.6,4.28,2019_CAP_RAINBOW_NB44_AQVU_9.27.19_DUAL
2021,L,C,L_NB26_2021,26,9/14/2021,8,SEPT,275,1,ATTENDED,0.705454545,MID,3,15:50:56,19:51:35,EGGS,9.89E+14,23.7,37.6,YOUNG,26.5,371,14444.04,0.197,337,8.484593472,0.101,216,6.788925926,0.096,121,11.51157025,0.072,160,6.544,0.029,56,7.488,0.005,16,4.813,0.09,102,12.729,0.001,3,5.833,0,0,0,0,0,0,0,0.004,12,4.377,0.621,0.379,0,0.009,0.005,0,0,0.794,26.8,22.5,8.98,197.8,9.89,2021_LM_CHURCH_NB26_9.14.21_DUAL
2021,L,C,L_NB26_2021,26,9/25/2021,19,SEPT,275,1,ATTENDED,0.705454545,MID,3,17:03:41,21:03:18,EGGS,9.89E+14,23.7,37.6,YOUNG,26.5,371,14406.3,0.207,564,5.307507092,0.013,33,5.679242424,0.192,530,5.236783019,0.006,13,7.182,0.007,20,4.702,0.101,345,4.226,0.069,121,8.223,0.022,64,5.042,0.002,1,30.524,0,0,0,0,0,0,0,1,0,0,0.002,0.002,0,0,0.791,38.3,16,8.91,122.9,8.6,2021_LM_CHURCH_NB26_EZSPY_9.25.21_DUAL
2021,L,C,L_NB26_2021,26,10/2/2021,26,OCT,275,1,ATTENDED,0.705454545,MID,3,15:54:22,19:57:55,EGGS,9.89E+14,23.7,37.6,YOUNG,26.5,371,14617.31,0.276,337,11.96832047,0.206,252,11.93898413,0.07,85,12.05529412,0.172,202,12.444,0.034,50,9.898,0.001,3,4.917,0.064,76,12.291,0.005,6,12.645,0,0,0,0,0,0,0,0,0,0,1,0,0,0.001,0.001,0,0,0.723,24.7,15.5,9.62,168.3,7.98,2021_LM_CHURCH_NB26_10.2.21_DUAL
2021,L,C,L_NB26_2021,26,10/13/2021,37,OCT,275,1,ATTENDED,0.705454545,MID,3,14:35:31,19:35:02,EGGS,9.89E+14,23.7,37.6,YOUNG,26.5,371,18005.34,0.389,594,11.82715657,0.315,411,13.80220195,0.06,179,6.108905028,0.313,406,13.902,0.002,5,5.729,0,3,1.455,0.056,160,6.339,0.004,16,4.685,0.014,4,64.783,0,0,0,0,0,0,0,0.979,0.021,0,0.007,0.007,0,0,0.604,23.5,19,8.54,196.1,6.52,2021_LM_CHURCH_NB26_EZSPY_10.13.21_DUAL
2021,L,C,L_NB26_2021,26,11/7/2021,62,NOV,275,1,ATTENDED,0.705454545,MID,3,14:45:42,19:45:12,LARVAE,9.89E+14,23.7,37.6,YOUNG,26.5,371,18005.45,0.081,135,10.70828889,0.006,13,7.630384615,0.075,121,11.12358678,0.006,13,7.63,0,0,0,0,1,4.429,0.061,89,12.271,0.014,31,8.046,0,1,0.47,0,0,0,0,0.002,11,3.848,0.841,0.159,0,0.027,0.025,0,0,0.892,32.6,5.3,8.14,129.9,14.22,2021_LM_CHURCH_NB26_EZSPY_11.7.21_DUAL
2021,L,C,L_NB28_2021,28,9/14/2021,8,SEPT,371,1,ATTENDED,0.641509434,MID,1,14:51:47,18:02:11,EGGS,9.89E+14,26.5,42.3,OLD,29,458,11427.94,0.599,1265,5.411135178,0.013,32,4.561,0.586,1233,5.433198702,0,0,0,0.013,32,4.561,0.531,1171,5.182,0.045,48,10.797,0.01,14,8.072,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.401,19.5,22.6,8.94,198.1,8.91,2021_LM_CHURCH_NB28_9.14.21_AQVU_DUAL
2021,L,C,L_NB28_2021,28,10/5/2021,29,OCT,371,1,ATTENDED,0.641509434,MID,1,16:11:32,21:10:41,EGGS,9.89E+14,26.5,42.3,OLD,29,458,17953.78,0.358,1081,5.953913043,0,0,0,0.358,1081,5.953913043,0,0,0,0,0,0,0.285,946,5.418,0.069,125,9.918,0.004,10,7.075,0,0,0,0,0,0,0,0.007,22,5.955,0.947,0.053,0,0.013,0.002,0,0.004,0.629,23.1,18.8,8.69,159,6.15,2021_LM_CHURCH_NB28_10.5.21_AQVU_DUAL
2021,L,C,L_NB28_2021,28,11/7/2021,62,NOV,371,1,ATTENDED,0.641509434,MID,1,14:23:11,18:15:03,LARVAE,9.89E+14,26.5,42.3,OLD,29,458,13917.68,0.054,79,9.551101266,0,0,0,0.053,78,9.564564103,0,0,0,0,0,0,0.002,7,4.143,0.048,61,11.051,0.003,10,4.29,0.001,1,8.501,0,0,0,0,0,0,0,1,0,0,0.002,0.001,0,0.001,0.944,26.8,5.3,7.65,130,14.19,2021_LM_CHURCH_NB28_11.7.21_AQVU_DUAL
